"OSHA_id","Payment_Date","Departament_id","OSHA_Type_id","numIncidentsLeadingToLostDays","numIncidentsLeadingToRestrictedDays"
275,"20190112",36,36,0,1
276,"20190112",36,36,1,1
277,"20181229",36,5,1,1
278,"20181229",36,11,1,1
279,"20181229",36,34,1,1
280,"20181229",36,32,1,1
281,"20181229",36,32,0,1
282,"20181229",36,33,0,1
283,"20181229",36,33,1,1
284,"20181229",36,17,0,0
285,"20181229",36,17,1,1
286,"20181229",36,8,0,1
287,"20181229",36,9,0,1
288,"20181229",36,36,0,1
289,"20181229",36,10,1,1
290,"20181215",36,1,1,1
291,"20181215",36,2,1,1
292,"20181215",36,18,0,0
293,"20181215",36,19,0,0
294,"20181215",36,20,1,1
295,"20181215",36,5,0,1
296,"20181215",36,5,1,1
297,"20181215",36,6,1,1
298,"20181215",36,7,1,1
299,"20181215",36,28,1,1
300,"20181215",36,11,1,1
301,"20181215",36,15,0,0
302,"20181215",36,16,0,0
303,"20181215",36,34,1,1
304,"20181215",36,32,1,1
305,"20181215",36,33,1,1
306,"20181215",36,17,1,1
307,"20181215",36,17,0,0
308,"20181215",36,8,1,1
309,"20181215",36,9,1,1
310,"20181215",36,36,0,1
311,"20181215",36,36,1,1
312,"20181215",36,37,1,1
313,"20181201",36,27,0,1
314,"20181201",36,18,0,0
315,"20181201",36,19,0,0
316,"20181201",36,20,1,1
317,"20181201",36,6,0,1
318,"20181201",36,7,0,1
319,"20181201",36,28,1,1
320,"20181201",36,40,1,1
321,"20181201",36,40,0,1
322,"20181201",36,11,1,1
323,"20181201",36,15,0,1
324,"20181201",36,16,0,1
325,"20181201",36,32,1,1
326,"20181201",36,32,0,1
327,"20181201",36,33,0,1
328,"20181201",36,33,1,1
329,"20181201",36,17,1,1
330,"20181201",36,17,0,0
331,"20181201",36,36,0,1
332,"20181201",36,36,1,1
333,"20181117",36,20,1,1
334,"20181117",36,5,0,1
335,"20181117",36,5,0,0
336,"20181117",36,28,1,1
337,"20181117",36,41,1,1
338,"20181117",36,42,0,0
339,"20181117",36,17,0,1
340,"20181117",36,8,0,1
341,"20181117",36,9,0,1
342,"20181117",36,36,0,0
343,"20181117",36,36,1,1
344,"20181117",36,36,0,1
345,"20181103",36,5,0,1
346,"20181103",36,38,1,1
347,"20181103",36,39,1,1
348,"20181103",36,6,0,0
349,"20181103",36,7,0,0
350,"20181103",36,28,1,1
351,"20181103",36,41,1,1
352,"20181103",36,16,1,1
353,"20181103",36,32,0,1
354,"20181103",36,32,1,1
355,"20181103",36,33,0,1
356,"20181103",36,33,1,1
357,"20181103",36,17,0,1
358,"20181103",36,17,1,1
359,"20181103",36,36,0,1
360,"20181103",36,36,1,1
361,"20181103",36,36,0,0
362,"20181020",36,3,1,1
363,"20181020",36,4,1,1
364,"20181020",36,38,1,1
365,"20181020",36,38,0,1
366,"20181020",36,39,1,1
367,"20181020",36,39,0,1
368,"20181020",36,6,0,1
369,"20181020",36,7,0,1
370,"20181020",36,41,1,1
371,"20181020",36,42,1,1
372,"20181020",36,32,1,1
373,"20181020",36,32,0,1
374,"20181020",36,33,0,1
375,"20181020",36,33,1,1
376,"20181020",36,17,1,1
377,"20181020",36,17,0,1
378,"20181020",36,17,0,0
379,"20181020",36,26,0,0
380,"20181020",36,8,0,1
381,"20181020",36,9,0,1
382,"20181020",36,36,0,0
383,"20181020",36,36,1,1
384,"20181020",36,36,0,1
385,"20181006",36,1,1,1
386,"20181006",36,2,1,1
387,"20181006",36,5,1,1
388,"20181006",36,5,0,0
389,"20181006",36,38,0,1
390,"20181006",36,39,0,1
391,"20181006",36,41,0,0
392,"20181006",36,15,0,0
393,"20181006",36,42,0,1
394,"20181006",36,16,0,0
395,"20181006",36,32,1,1
396,"20181006",36,33,1,1
397,"20181006",36,17,1,1
398,"20181006",36,36,1,1
399,"20181006",36,36,0,0
400,"20181006",36,36,0,1
401,"20181006",36,10,1,1
402,"20181006",36,10,0,1
403,"20180922",36,27,0,0
404,"20180922",36,1,0,0
405,"20180922",36,2,0,0
406,"20180922",36,18,0,0
407,"20180922",36,18,0,1
408,"20180922",36,19,0,0
409,"20180922",36,19,0,1
410,"20180922",36,5,0,0
411,"20180922",36,5,0,1
412,"20180922",36,5,1,1
413,"20180922",36,6,0,1
414,"20180922",36,6,1,1
415,"20180922",36,7,1,1
416,"20180922",36,7,0,1
417,"20180922",36,15,0,0
418,"20180922",36,16,0,0
419,"20180922",36,32,1,1
420,"20180922",36,33,1,1
421,"20180922",36,17,1,1
422,"20180922",36,8,1,1
423,"20180922",36,9,1,1
424,"20180922",36,36,0,1
425,"20180908",36,1,0,0
426,"20180908",36,2,0,0
427,"20180908",36,5,0,1
428,"20180908",36,43,0,0
429,"20180908",36,11,0,0
430,"20180908",36,34,0,1
431,"20180908",36,44,0,0
432,"20180908",36,32,0,1
433,"20180908",36,32,1,1
434,"20180908",36,33,1,1
435,"20180908",36,33,0,1
436,"20180908",36,17,1,1
437,"20180908",36,17,0,1
438,"20180908",36,45,0,0
439,"20180908",36,46,1,1
440,"20180908",36,8,1,1
441,"20180908",36,8,0,0
442,"20180908",36,9,0,0
443,"20180908",36,9,1,1
444,"20180908",36,36,1,1
445,"20180908",36,36,0,0
446,"20180908",36,10,0,0
447,"20180908",36,37,1,1
448,"20180825",36,18,0,0
449,"20180825",36,19,0,0
450,"20180825",36,5,0,0
451,"20180825",36,40,0,0
452,"20180825",36,42,0,1
453,"20180825",36,34,0,0
454,"20180825",36,17,0,1
455,"20180825",36,17,0,0
456,"20180825",36,36,1,1
457,"20180825",36,36,0,1
458,"20180811",36,1,0,0
459,"20180811",36,2,0,0
460,"20180811",36,5,1,1
461,"20180811",36,6,1,1
462,"20180811",36,6,0,0
463,"20180811",36,6,0,1
464,"20180811",36,7,0,0
465,"20180811",36,7,1,1
466,"20180811",36,7,0,1
467,"20180811",36,34,0,1
468,"20180811",36,44,1,1
469,"20180811",36,44,0,0
470,"20180811",36,35,0,0
471,"20180811",36,17,0,0
472,"20180811",36,45,0,0
473,"20180811",36,45,1,1
474,"20180811",36,46,0,0
475,"20180811",36,8,1,1
476,"20180811",36,8,0,0
477,"20180811",36,9,0,0
478,"20180811",36,9,1,1
479,"20180811",36,36,1,1
480,"20180811",36,36,0,1
481,"20180728",36,27,0,1
482,"20180728",36,1,0,0
483,"20180728",36,2,0,0
484,"20180728",36,21,0,0
485,"20180728",36,5,0,1
486,"20180728",36,6,0,0
487,"20180728",36,7,0,0
488,"20180728",36,47,0,1
489,"20180728",36,40,0,0
490,"20180728",36,11,0,1
491,"20180728",36,11,1,1
492,"20180728",36,34,0,0
493,"20180728",36,44,0,0
494,"20180728",36,48,0,1
495,"20180728",36,32,0,1
496,"20180728",36,32,1,1
497,"20180728",36,33,0,1
498,"20180728",36,33,1,1
499,"20180728",36,17,1,1
500,"20180728",36,17,0,1
501,"20180728",36,45,0,0
502,"20180728",36,49,0,1
503,"20180728",36,46,0,0
504,"20180728",36,8,1,1
505,"20180728",36,8,0,1
506,"20180728",36,9,1,1
507,"20180728",36,9,0,1
508,"20180728",36,36,0,0
509,"20180728",36,36,1,1
510,"20180728",36,36,0,1
511,"20180728",36,37,0,1
512,"20180728",36,12,1,1
513,"20180714",36,50,1,1
514,"20180714",36,5,0,0
515,"20180714",36,38,0,1
516,"20180714",36,39,0,1
517,"20180714",36,6,0,0
518,"20180714",36,7,0,0
519,"20180714",36,51,0,1
520,"20180714",36,31,1,1
521,"20180714",36,42,1,1
522,"20180714",36,34,1,1
523,"20180714",36,32,1,1
524,"20180714",36,33,1,1
525,"20180714",36,8,0,1
526,"20180714",36,8,1,1
527,"20180714",36,9,1,1
528,"20180714",36,9,0,1
529,"20180714",36,36,1,1
530,"20180714",36,36,0,1
531,"20180714",36,52,0,0
532,"20180630",36,1,0,0
533,"20180630",36,2,0,0
534,"20180630",36,5,0,1
535,"20180630",36,5,1,1
536,"20180630",36,38,1,1
537,"20180630",36,39,1,1
538,"20180630",36,6,0,0
539,"20180630",36,7,0,0
540,"20180630",36,32,0,0
541,"20180630",36,32,0,1
542,"20180630",36,33,0,1
543,"20180630",36,33,0,0
544,"20180630",36,17,0,1
545,"20180630",36,46,0,0
546,"20180630",36,8,1,1
547,"20180630",36,8,0,1
548,"20180630",36,9,1,1
549,"20180630",36,9,0,1
550,"20180630",36,36,1,1
551,"20180630",36,36,0,1
552,"20180630",36,10,1,1
553,"20180630",36,10,0,1
554,"20180616",36,1,0,1
555,"20180616",36,1,1,1
556,"20180616",36,1,0,0
557,"20180616",36,2,0,1
558,"20180616",36,2,1,1
559,"20180616",36,2,0,0
560,"20180616",36,18,1,1
