"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
61.5,1694.03,"20160618",3,1
0.5,12.59,"20150620",3,1
3.5,97.57,"20160604",3,1
0.1,3.39,"20150606",3,1
2,37.34,"20140607",3,2
21,584.01,"20160716",3,1
8,148.32,"20160716",3,2
33,923.18,"20150718",3,1
-8,-127.28,"20150718",3,2
59.5,1653.68,"20160702",3,1
8,219.6,"20150704",3,1
16,276.48,"20150704",3,2
0.5,11.93,"20140705",3,1
37.5,1044.96,"20150801",3,1
31.5,881.21,"20150815",3,1
0.6,19.59,"20140816",3,1
1.3,20.68,"20140802",3,2
40,1119,"20150829",3,1
0.2,5.28,"20140830",3,1
20.7,529.98,"20130831",3,1
32,895.2,"20150912",3,1
8,149.2,"20150912",3,2
9.1,233.01,"20130914",3,1
2.6,44.38,"20130914",3,2
35,979.13,"20150926",3,1
17,466.14,"20140927",3,1
1,15.91,"20140927",3,2
14.7,377.3,"20130928",3,1
5.51,74.55,"20190112",5,2
0.5,17.88,"20180113",5,1
27.32,346.9,"20180113",5,2
1.51,21.01,"20170114",5,2
1.02,13.67,"20160116",5,2
5.5,128.66,"20150117",5,1
28.51,368.2,"20190126",5,2
55.5,679.03,"20180127",5,2
2.5,37.5,"20170128",5,1
23.32,286.01,"20170128",5,2
22,246.62,"20150103",5,2
3,55.31,"20160130",5,1
31.01,378.32,"20160130",5,2
13.5,265.02,"20150131",5,1
28,390.34,"20150131",5,2
1.5,17.72,"20140104",5,2
2.51,44.33,"20151010",5,2
11,123.44,"20141011",5,2
1,16.64,"20131012",5,2
13.02,176.26,"20181020",5,2
1,33.51,"20171021",5,1
33.71,408.02,"20171021",5,2
4.260000000000001,55.22,"20161022",5,2
26,332.53000000000003,"20151024",5,2
29,344.88,"20141025",5,2
5,127.95,"20131026",5,1
24.5,285.56,"20131026",5,2
12.02,157.97,"20181006",5,2
0.01,0.35,"20171007",5,1
47,673.43,"20171007",5,2
2.02,24.84,"20161008",5,2
38.61,497.88,"20181117",5,2
72.5,905.78,"20171118",5,2
28,372.09999999999997,"20161119",5,2
32,677.26,"20151121",5,1
29.509999999999998,370.38,"20151121",5,2
14,319.87,"20141122",5,1
46.8,547.07,"20141122",5,2
4,102.36,"20131123",5,1
24,279.01,"20131123",5,2
3.5,53.03,"20181103",5,1
53.03,684.28,"20181103",5,2
65.9,803.3,"20171104",5,2
35.51,435,"20161105",5,2
36.3,580.83,"20151107",5,1
3.75,48.68000000000001,"20151107",5,2
6,81,"20141108",5,1
25.5,293.04,"20141108",5,2
7,83.74,"20131109",5,2
3,39.31,"20181201",5,2
7,94.71,"20181215",5,2
1.51,50.6,"20171216",5,1
95.31,1182.38,"20171216",5,2
32,388.28000000000003,"20161217",5,2
48.8,862.85,"20151219",5,1
35.4,440.96,"20151219",5,2
43.12,526.5,"20171202",5,2
25.55,468,"20141220",5,1
76,951.95,"20141220",5,2
63.55,1046.6,"20131221",5,1
